received_time_ns,timestamp,timestamp_sample,reversible_flags,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,motor_7,motor_8,motor_9,motor_10,motor_11,motor_12,motors_peak
1775659397949573376,3256000,3256000,0,0.0,1.2171708953234717e-13,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.2171708953234717e-13
1775659397957573376,3264000,3264000,0,1.4879276196561042e-13,0.0,0.0,1.6367202732014974e-13,nan,nan,nan,nan,nan,nan,nan,nan,1.6367202732014974e-13
1775659398049573376,3356000,3356000,0,0.0,2.7487840562751e-12,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,2.7487840562751e-12
1775659398149573376,3456000,3456000,0,4.323702854081013e-13,0.0,4.771244163648269e-13,0.0,nan,nan,nan,nan,nan,nan,nan,nan,4.771244163648269e-13
1775659398245573376,3552000,3552000,0,0.0,7.726751638688356e-13,1.6119267379210989e-12,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.6119267379210989e-12
1775659398349573376,3656000,3656000,0,0.0,1.7608831059945373e-13,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.7608831059945373e-13
1775659398449573376,3756000,3756000,0,0.0,1.912113913385416e-12,1.738285513794291e-12,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.912113913385416e-12
1775659398549573376,3856000,3856000,0,0.0,2.883149990452749e-13,3.900083381247477e-12,1.5306744587106902e-12,nan,nan,nan,nan,nan,nan,nan,nan,3.900083381247477e-12
1775659398645573376,3952000,3952000,0,0.0,0.0,0.0,2.1066574049447007e-13,nan,nan,nan,nan,nan,nan,nan,nan,2.1066574049447007e-13
1775659398749573376,4056000,4056000,0,0.0,2.2737367544323206e-13,2.0064895925320236e-14,0.0,nan,nan,nan,nan,nan,nan,nan,nan,2.2737367544323206e-13
1775659398849573376,4156000,4156000,0,0.0014436624478548765,0.0006201029755175114,0.0010809951927512884,0.0008552399231120944,nan,nan,nan,nan,nan,nan,nan,nan,0.0014436624478548765
1775659398949573376,4256000,4256000,0,0.001458541490137577,0.0005354812019504607,0.0012387720635160804,0.0007672059000469744,nan,nan,nan,nan,nan,nan,nan,nan,0.001458541490137577
1775659399049573376,4356000,4356000,0,0.0013699495466426015,0.0005176053964532912,0.0013313251547515392,0.0007811204995959997,nan,nan,nan,nan,nan,nan,nan,nan,0.0013699495466426015
1775659399149573376,4456000,4456000,0,0.0016677109524607658,0.0004730930086225271,0.0013738052221015096,0.00048539147246629,nan,nan,nan,nan,nan,nan,nan,nan,0.0016677109524607658
1775659399249573376,4556000,4556000,0,0.001830212539061904,0.00010731137444963679,0.0015318826772272587,0.000530594028532505,nan,nan,nan,nan,nan,nan,nan,nan,0.001830212539061904
1775659399349573376,4656000,4656000,0,0.0020000000949949026,0.0,0.0017896906938403845,0.0002103096921928227,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000000949949026
1775659399449573376,4756000,4756000,0,0.0020000003278255463,0.0,0.00200000056065619,2.1827872842550278e-11,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659399549573376,4856000,4856000,0,0.0020000000949949026,5.093170329928398e-11,0.00200000056065619,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659399649573376,4956000,4956000,0,0.0020000003278255463,0.0,0.00200000056065619,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659399749573376,5056000,5056000,0,0.0020000000949949026,0.0,0.00200000056065619,7.275957614183426e-12,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659399849573376,5156000,5156000,0,0.0020000003278255463,0.0,0.001209338428452611,0.0007906618993729353,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659399949573376,5256000,5256000,0,0.0019811303354799747,0.0,0.0008998988196253777,0.0011189712677150965,nan,nan,nan,nan,nan,nan,nan,nan,0.0019811303354799747
1775659400049573376,5356000,5356000,0,0.0016276822425425053,0.00024516170378774405,0.0011593049857765436,0.0009678516653366387,nan,nan,nan,nan,nan,nan,nan,nan,0.0016276822425425053
1775659400149573376,5456000,5456000,0,0.0015001633437350392,0.00031973636941984296,0.0011352611472830176,0.00104483962059021,nan,nan,nan,nan,nan,nan,nan,nan,0.0015001633437350392
1775659400249573376,5556000,5556000,0,0.0011794237652793527,0.0008473109337501228,0.0006711925379931927,0.0013020733604207635,nan,nan,nan,nan,nan,nan,nan,nan,0.0013020733604207635
1775659400349573376,5656000,5656000,0,0.0006451429799199104,0.0013966619735583663,0.00025463118799962103,0.0017035644268617034,nan,nan,nan,nan,nan,nan,nan,nan,0.0017035644268617034
1775659400449573376,5756000,5756000,0,0.0003114619175903499,0.0016756475670263171,0.0001259751879842952,0.0018869159976020455,nan,nan,nan,nan,nan,nan,nan,nan,0.0018869159976020455
1775659400549573376,5856000,5856000,0,7.753510726615787e-05,0.0018551854882389307,3.203790765837766e-05,0.002035242272540927,nan,nan,nan,nan,nan,nan,nan,nan,0.002035242272540927
1775659400649573376,5956000,5956000,0,1.9653632887806083e-11,0.0020000003278255463,3.552496838366004e-13,0.0020000003278255463,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659400749573376,6056000,6056000,0,0.0,0.0020000000949949026,0.0,0.00200000056065619,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659400849573376,6156000,6156000,0,0.0,0.0020000000949949026,0.0,0.0020000003278255463,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659400949573376,6256000,6256000,0,1.0802932853826164e-10,0.0020000000949949026,1.110035674489751e-12,0.00200000056065619,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659401049573376,6356000,6356000,0,0.0,0.001999999862164259,8.037834980934022e-11,0.00200000056065619,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659401149573376,6456000,6456000,0,0.0,0.0020000003278255463,0.0,0.0020000003278255463,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659401249573376,6556000,6556000,0,0.0,0.0020000003278255463,0.0,0.0020000003278255463,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659401349573376,6656000,6656000,0,8.005857261850213e-15,0.0020000000949949026,1.5847144430036764e-10,0.0020000003278255463,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659401449573376,6756000,6756000,0,3.134211640221096e-14,0.0020000003278255463,5.271934971906589e-11,0.0020000003278255463,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659401549573376,6856000,6856000,0,1.1257304810552426e-10,0.0020000003278255463,2.0429144487188466e-13,0.0020000003278255463,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659401649573376,6956000,6956000,0,8.194932232807872e-11,0.0020000003278255463,0.0,0.0020000000949949026,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659401749573376,7056000,7056000,0,4.623280924764828e-13,0.0020000000949949026,2.541961918733904e-10,0.0020000000949949026,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000000949949026
1775659401849573376,7156000,7156000,0,2.1680043871263877e-10,0.0020000003278255463,1.4782931823109635e-12,0.0020000000949949026,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659401949573376,7256000,7256000,0,6.548869779798849e-11,0.0020000000949949026,0.0,0.00200000056065619,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659402049573376,7356000,7356000,0,5.7230067906921533e-11,0.0020000000949949026,6.809873845381453e-14,0.00200000056065619,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659402149573376,7456000,7456000,0,1.1139789091174634e-10,0.0020000000949949026,1.379455577543709e-12,0.0020000003278255463,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659402249573376,7556000,7556000,0,1.0691903612469744e-10,0.0020000000949949026,4.013369497846142e-13,0.0020000003278255463,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659402349573376,7656000,7656000,0,0.0,0.0020000000949949026,3.708591420070739e-11,0.00200000056065619,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659402449573376,7756000,7756000,0,7.191401337272585e-13,0.0020000003278255463,0.0,0.00200000056065619,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659402549573376,7856000,7856000,0,0.0004146081628277898,0.001516110496595502,5.11319849465508e-05,0.0020181499421596527,nan,nan,nan,nan,nan,nan,nan,nan,0.0020181499421596527
1775659402649573376,7956000,7956000,0,0.00041874521411955357,0.001455096178688109,6.70129811624065e-05,0.0020591462962329388,nan,nan,nan,nan,nan,nan,nan,nan,0.0020591462962329388
1775659402749573376,8056000,8056000,0,0.0003854136448353529,0.0015013288939371705,7.654255023226142e-05,0.0020367156248539686,nan,nan,nan,nan,nan,nan,nan,nan,0.0020367156248539686
1775659402849573376,8156000,8156000,0,0.0004327217466197908,0.001456122612580657,0.00010950497380690649,0.002001651329919696,nan,nan,nan,nan,nan,nan,nan,nan,0.002001651329919696
1775659402949573376,8256000,8256000,0,0.00033993544639088213,0.0015370373148471117,0.00017045704589691013,0.0019525706302374601,nan,nan,nan,nan,nan,nan,nan,nan,0.0019525706302374601
1775659403049573376,8356000,8356000,0,0.0002923137799371034,0.0016791470116004348,0.00026389231788925827,0.0017646474298089743,nan,nan,nan,nan,nan,nan,nan,nan,0.0017646474298089743
1775659403149573376,8456000,8456000,0,1.4310755432234146e-05,0.0019021844491362572,0.0003386682365089655,0.0017448372673243284,nan,nan,nan,nan,nan,nan,nan,nan,0.0019021844491362572
1775659403249573376,8556000,8556000,0,0.0,0.0019721470307558775,0.0003745505237020552,0.001653303042985499,nan,nan,nan,nan,nan,nan,nan,nan,0.0019721470307558775
1775659403349573376,8656000,8656000,0,7.242493302328512e-05,0.0018148822709918022,0.0007601732504554093,0.0013525200774893165,nan,nan,nan,nan,nan,nan,nan,nan,0.0018148822709918022
1775659403449573376,8756000,8756000,0,0.0003800351987592876,0.0015481768641620874,0.001108734286390245,0.0009630541899241507,nan,nan,nan,nan,nan,nan,nan,nan,0.0015481768641620874
1775659403549573376,8856000,8856000,0,0.00046838776324875653,0.0013418771559372544,0.0014863377436995506,0.0007033979636617005,nan,nan,nan,nan,nan,nan,nan,nan,0.0014863377436995506
1775659403649573376,8956000,8956000,0,0.0008188204374164343,0.0011028546141460538,0.0017772886203601956,0.00030103701283223927,nan,nan,nan,nan,nan,nan,nan,nan,0.0017772886203601956
1775659403749573376,9056000,9056000,0,0.0013991394080221653,0.0005108637269586325,0.002042856067419052,4.7141344111878425e-05,nan,nan,nan,nan,nan,nan,nan,nan,0.002042856067419052
1775659403849573376,9156000,9156000,0,0.001999999862164259,0.0,0.00200000056065619,2.1827872842550278e-11,nan,nan,nan,nan,nan,nan,nan,nan,0.00200000056065619
1775659403949573376,9256000,9256000,0,0.0020000003278255463,3.001332515850663e-11,0.0020000003278255463,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659404049573376,9356000,9356000,0,0.0020000003278255463,0.0,0.0020000000949949026,4.3655745685100555e-11,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775659404149573376,9456000,9456000,0,0.0020000003278255463,0.0,0.0020000003278255463,1.4551915228366852e-11,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
