received_time_ns,x,y,z,vx,vy,vz
1775762433171748580,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433225582429,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433279324513,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433332801186,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433386347675,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433440039748,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433493698545,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433547670171,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433601281261,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433653451457,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433705448585,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433758102631,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775762433811985594,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762433814835034,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762433868295133,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762433921967720,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762433975754758,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434029784716,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434083656488,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434137548993,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434191430299,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434245427113,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434299214510,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434352889407,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434406553714,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434460174473,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434514013353,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434517039541,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434570482240,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434623909582,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434676024206,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434728632984,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434782407294,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775762434836200034,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
