received_time_ns,event_type,field_name,previous_value,current_value
1775658810178922103,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775658810178922103,vehicle_control_mode_events,flag_control_auto_enabled,True,False
1775658810438246862,vehicle_control_mode_events,flag_armed,False,True
1775658810438246862,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775658810438246862,vehicle_control_mode_events,flag_control_offboard_enabled,False,True
1775658819445325578,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775658819445325578,vehicle_control_mode_events,flag_control_offboard_enabled,True,False
1775658827550716779,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775658827550716779,vehicle_control_mode_events,flag_control_auto_enabled,False,True
1775658833540531703,vehicle_control_mode_events,flag_armed,True,False
1775658833540531703,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775658833540531703,vehicle_control_mode_events,flag_control_auto_enabled,True,False
