received_time_ns,event_type,field_name,previous_value,current_value
1775658810178431794,vehicle_status_events,nav_state,4,2
1775658810178431794,vehicle_status_events,pre_flight_checks_pass,True,False
1775658810289426757,vehicle_status_events,pre_flight_checks_pass,False,True
1775658810438065860,vehicle_status_events,arming_state,1,2
1775658810438065860,vehicle_status_events,nav_state,2,14
1775658819445070153,vehicle_status_events,nav_state,14,2
1775658827552627984,vehicle_status_events,nav_state,2,18
1775658833540115557,vehicle_status_events,arming_state,2,1
1775658833540115557,vehicle_status_events,nav_state,18,2
1775658834201483612,vehicle_status_events,pre_flight_checks_pass,True,False
