scenario,amplitude_tier,config_key,config_name,run_id,study_name,config_profile,artifact_dir,analysis_status,baseline_command_throttle,baseline_actuator_1,baseline_actuator_2,baseline_actuator_3,baseline_actuator_4,baseline_sample_count,active_sample_count,aligned_sample_count,pulse_count_seen,mean_delta_actuator_pos,mean_delta_actuator_neg,effect_abs_median,slope_median,slope_abs_median,baseline_noise_mad,snr,accepted,failsafe_during_experiment,completion_reason,rejection_reasons,anomaly_summary,status,exit_code,research_acceptance
nominal,medium,nominal-medium,ardupilot_a2_probe_nominal_medium.yaml,20260415_084458_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_probe_nominal_medium,ardupilot_a2_probe_nominal_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_084458_ardupilot_manual_pulse_train_throttle_r1,ok,0.55,0.1,0.1,0.1,0.1,156,32,188,5,-0.1,nan,0.1,-33.33333333333331,33.33333333333331,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,small,nominal-small,ardupilot_a2_probe_nominal_small.yaml,20260415_084532_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_probe_nominal_small,ardupilot_a2_probe_nominal_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_084532_ardupilot_manual_pulse_train_throttle_r1,ok,0.55,0.1,0.1,0.1,0.1,155,33,188,5,-0.1,nan,0.1,-99.99999999999991,99.99999999999991,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
