response_name,phase,rank,feature_name,coefficient,abs_coefficient,feature_group
future_state_roll,baseline,1,roll,2.3903503567271494,2.3903503567271494,same_axis_direct
future_state_roll,baseline,2,roll__lag_1,-1.6833537359083097,1.6833537359083097,same_axis_lag
future_state_roll,baseline,3,roll__lag_3,0.3311419657830458,0.3311419657830458,same_axis_lag
future_state_roll,baseline,4,yaw__lag_3,0.1922329686249725,0.1922329686249725,yaw_heading_state
future_state_roll,baseline,5,heading__lag_3,-0.1733074914261339,0.1733074914261339,yaw_heading_state
future_state_roll,baseline,6,roll__lag_2,-0.1376192342367587,0.1376192342367587,same_axis_lag
future_state_roll,baseline,7,velocity_x__lag_2,0.12489330005787116,0.12489330005787116,other
future_state_roll,baseline,8,yaw__lag_1,-0.12153875896234725,0.12153875896234725,yaw_heading_state
future_state_roll,baseline,9,command_roll,0.10323637414718032,0.10323637414718032,same_axis_command
future_state_roll,baseline,10,velocity_y,-0.1006694196452119,0.1006694196452119,other
future_state_roll,diagnostic,1,roll,2.3020723514737993,2.3020723514737993,same_axis_direct
future_state_roll,diagnostic,2,roll__lag_1,-1.2825812908845324,1.2825812908845324,same_axis_lag
future_state_roll,diagnostic,3,roll__lag_2,-0.6300416567904075,0.6300416567904075,same_axis_lag
future_state_roll,diagnostic,4,roll__lag_3,0.5073225184441893,0.5073225184441893,same_axis_lag
future_state_roll,diagnostic,5,yaw__lag_1,-0.11593260980325948,0.11593260980325948,yaw_heading_state
future_state_roll,diagnostic,6,command_roll__lag_1,0.10264391433059077,0.10264391433059077,same_axis_command
future_state_roll,diagnostic,7,heading__lag_1,0.09321115690029014,0.09321115690029014,yaw_heading_state
future_state_roll,diagnostic,8,command_roll,0.08295459993290465,0.08295459993290465,same_axis_command
future_state_roll,diagnostic,9,velocity_x__lag_2,0.08065259040100367,0.08065259040100367,other
future_state_roll,diagnostic,10,command_roll__lag_3,-0.07467521491638349,0.07467521491638349,same_axis_command
future_state_pitch,baseline,1,pitch,2.21452629952317,2.21452629952317,same_axis_direct
future_state_pitch,baseline,2,pitch__lag_1,-1.336423390809196,1.336423390809196,same_axis_lag
future_state_pitch,baseline,3,pitch__lag_2,-0.33982817291162665,0.33982817291162665,same_axis_lag
future_state_pitch,baseline,4,pitch__lag_3,0.31909596233195875,0.31909596233195875,same_axis_lag
future_state_pitch,baseline,5,heading__lag_3,0.19236674797477896,0.19236674797477896,yaw_heading_state
future_state_pitch,baseline,6,command_yaw__lag_2,0.19179807667008977,0.19179807667008977,other_command
future_state_pitch,baseline,7,yaw__lag_3,-0.19152197771808488,0.19152197771808488,yaw_heading_state
future_state_pitch,baseline,8,heading__lag_1,-0.1720139921001477,0.1720139921001477,yaw_heading_state
future_state_pitch,baseline,9,yaw__lag_1,0.16318098453554306,0.16318098453554306,yaw_heading_state
future_state_pitch,baseline,10,command_pitch__lag_2,-0.14211354801472664,0.14211354801472664,same_axis_command
future_state_pitch,diagnostic,1,pitch,2.117851564877715,2.117851564877715,same_axis_direct
future_state_pitch,diagnostic,2,pitch__lag_1,-1.1766156128069802,1.1766156128069802,same_axis_lag
future_state_pitch,diagnostic,3,pitch__lag_2,-0.3618684573277078,0.3618684573277078,same_axis_lag
future_state_pitch,diagnostic,4,pitch__lag_3,0.32192372445926554,0.32192372445926554,same_axis_lag
future_state_pitch,diagnostic,5,heading__lag_2,0.11280589878866507,0.11280589878866507,yaw_heading_state
future_state_pitch,diagnostic,6,yaw,0.11271235460077716,0.11271235460077716,yaw_heading_state
future_state_pitch,diagnostic,7,yaw__lag_2,-0.11257315216685106,0.11257315216685106,yaw_heading_state
future_state_pitch,diagnostic,8,heading,-0.1078852841677777,0.1078852841677777,yaw_heading_state
future_state_pitch,diagnostic,9,command_pitch,0.10107487213371524,0.10107487213371524,same_axis_command
future_state_pitch,diagnostic,10,position_y__lag_2,-0.08604379416541527,0.08604379416541527,other
