received_time_ns,event_type,field_name,previous_value,current_value
1775556020207967373,vehicle_status_events,arming_state,1,2
1775556020207967373,vehicle_status_events,nav_state,4,14
1775556032271944717,vehicle_status_events,nav_state,14,18
1775556038259600734,vehicle_status_events,arming_state,2,1
1775556038259600734,vehicle_status_events,nav_state,18,14
1775556038259600734,vehicle_status_events,pre_flight_checks_pass,True,False
