received_time_ns,timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,thrust_body_x,thrust_body_y,thrust_body_z,reset_integral
1775659249089486848,3388000,-0.0,-0.0,-2.7543108444660902e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249097486848,3396000,-0.0,-0.0,-2.642064828251023e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249137486848,3436000,-0.0,-0.0,-2.8144786483608186e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249193486848,3492000,-0.0,-0.0,-2.5117164113908075e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249241486848,3540000,-0.0,-0.0,-2.4585655410191976e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249289486848,3588000,-0.0,-0.0,-2.2245219952310435e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249337486848,3636000,-0.0,-0.0,-1.9637838704511523e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249393486848,3692000,-0.0,-0.0,-1.9859429812640883e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249441486848,3740000,-0.0,-0.0,-1.591098953213077e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249489486848,3788000,-0.0,-0.0,-1.3054494047537446e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249537486848,3836000,-0.0,-0.0,-1.1868841284012888e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249585486848,3884000,-0.0,-0.0,-1.306019021285465e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249641486848,3940000,-0.0,-0.0,-1.0342220775783062e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249689486848,3988000,-0.0,-0.0,-7.002518486842746e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249745486848,4044000,-0.0,-0.0,-6.5668655224726535e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249785486848,4084000,-0.0,-0.0,-7.254744105011923e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249841486848,4140000,-0.0,-0.0,-5.1343313316465355e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249889486848,4188000,-0.0,-0.0,-8.442037142231129e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249937486848,4236000,-0.0,-0.0,-6.448010026360862e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659249993486848,4292000,-0.0,-0.0,-9.822398169490043e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250041486848,4340000,-0.0,-0.0,-3.814024694293039e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250089486848,4388000,-0.0,-0.0,-4.780348263011547e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250137486848,4436000,-0.0,-0.0,-5.684652933268808e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250193486848,4492000,-0.0,-0.0,-2.939010300906375e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250241486848,4540000,0.0,0.0,6.746645340172108e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250289486848,4588000,0.0,0.0,1.2929181139043067e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250337486848,4636000,0.0,0.0,1.5462661981582642,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250393486848,4692000,0.0,0.0,1.549391746520996,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250441486848,4740000,0.0,0.0,1.5556304454803467,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250489486848,4788000,0.0,0.0,1.5596116781234741,0.0,0.0,0.0,-0.0010000000474974513,False
1775659250545486848,4844000,0.0,0.0,1.5631941556930542,0.0,0.0,0.0,-0.0010000000474974513,False
