anchor_id,study_phase,backend,mode_scope,scenario_scope,x_schema,y_schema,model_name,pooling_mode,support,generalization_status,median_test_r2,coefficient_stability,scenario_consistency,scenario_r2_dynamic,scenario_r2_nominal,scenario_r2_throttle_biased,x_effective_condition_number,f_rank,f_effective_rank,f_condition_number,mask_nonzero_count,active_feature_count,active_response_count,row_nnz_min,row_nnz_median,row_nnz_max,col_nnz_min,col_nnz_median,col_nnz_max,abs_mass_command,abs_mass_state_current,abs_mass_state_lag_1,abs_mass_state_lag_2,abs_mass_state_lag_3,abs_mass_other_augmented,mean_top1_share,mean_top3_share,mean_top5_share,mean_gini,mean_effective_support_size,same_combo_mask_jaccard_to_pair,same_combo_raw_top4_jaccard_to_pair,same_combo_raw_top4_sign_match_to_pair
A1_baseline,baseline,px4,"OFFBOARD_ATTITUDE, POSCTL","dynamic, nominal, throttle_biased",full_augmented,next_raw_state,ols_affine,stratified,supported,generalized_supported,0.9995277520082995,0.8958333333333334,0.9902751674447235,0.9619208565064419,0.9525663372454887,0.9544173764231022,3435.5927411399257,13,9.637674568079682,2.183704862558217e+16,47,22,10,0,0.0,4,0,2.0,9,0.025492045544179644,0.3087561909967517,0.2327503024760486,0.20331957080816498,0.16780784294153728,0.06187404723331784,0.15798677765432817,0.3359654952625038,0.44871315315153115,0.7305786250841049,18.00732650972832,0.625,0.2903225806451613,0.9629629629629629
A1_diagnostic,diagnostic,px4,"OFFBOARD_ATTITUDE, POSCTL","dynamic, nominal, throttle_biased",full_augmented,next_raw_state,ols_affine,stratified,supported,generalized_supported,0.9990850111923917,0.9204545454545454,0.9975657449369468,0.9946986195069523,0.9948041756873742,0.9923825685859607,2455.3807349368735,13,11.418005456975846,5.2983645803270856e+16,31,18,10,0,0.0,2,0,2.0,6,0.011049052314292852,0.3523527073650705,0.2370436972890399,0.18315631860499829,0.13766441467922888,0.07873380974736952,0.21422801117740925,0.401979472490503,0.4971883985398112,0.7555622688057179,14.835660455046105,0.625,0.2903225806451613,0.9629629629629629
B1_baseline,baseline,px4,"OFFBOARD_ATTITUDE, POSCTL","dynamic, nominal, throttle_biased",full_augmented,delta_state,ols_affine,stratified,supported,supported_but_local,0.810488665014081,0.8958333333333334,0.0,-10.910327777104893,-13.71650237234414,-12.83890933035381,3435.5927411399257,13,8.704022057775674,7.327426097907933e+16,45,20,9,0,0.0,4,0,2.0,9,0.026866874601416235,0.2714762452738915,0.245302919266641,0.2142849385487455,0.17685800323990106,0.06521101906940471,0.12230086121268853,0.299770057455193,0.41715067030787784,0.7142213821568333,20.34470210291065,0.6086956521739131,0.25,0.9166666666666666
B1_diagnostic,diagnostic,px4,"OFFBOARD_ATTITUDE, POSCTL","dynamic, nominal, throttle_biased",full_augmented,delta_state,ols_affine,stratified,supported,supported_but_local,0.7527773664164563,0.9204545454545454,0.0,-0.46105674201965163,-0.5999758632547869,-0.25606972853441534,2455.3807349368735,13,11.036398847810222,1.597517814928047e+16,29,16,9,0,0.0,2,0,1.0,6,0.012394285870626172,0.27350097909569226,0.26590401280207165,0.20545578998347383,0.1544251996652787,0.08831973258285729,0.14244246772880542,0.3216971519174544,0.4287932127332063,0.7240899687580692,20.149070660065924,0.6086956521739131,0.25,0.9166666666666666
