scenario,accepted_count,attempt_count,gate_rate,failsafe_rate,threshold_window_present,ready,blocking_reasons,micro_attempt_count,micro_accepted_count,micro_gate_rate,micro_failsafe_rate,micro_median_pulse_trigger_rate,micro_median_floor_hit_rate,micro_median_baseline_false_trigger_rate,micro_median_hit_latency_ms,micro_median_recovery_rate,micro_median_hit_pattern_consistency,probe_attempt_count,probe_accepted_count,probe_gate_rate,probe_failsafe_rate,probe_median_pulse_trigger_rate,probe_median_floor_hit_rate,probe_median_baseline_false_trigger_rate,probe_median_hit_latency_ms,probe_median_recovery_rate,probe_median_hit_pattern_consistency,confirm_attempt_count,confirm_accepted_count,confirm_gate_rate,confirm_failsafe_rate,confirm_median_pulse_trigger_rate,confirm_median_floor_hit_rate,confirm_median_baseline_false_trigger_rate,confirm_median_hit_latency_ms,confirm_median_recovery_rate,confirm_median_hit_pattern_consistency
nominal,5,15,0.0,0.0,False,False,"nominal_micro_trigger_rate_above_ceiling,nominal_micro_floor_hit_rate_above_ceiling,nominal_micro_baseline_false_trigger_rate_above_ceiling,nominal_probe_trigger_rate_below_floor,nominal_probe_recovery_rate_below_floor,nominal_confirm_floor_hit_rate_regressed,nominal_confirm_recovery_rate_below_floor",5,5,0.0,0.0,0.6,0.59375,0.391025641025641,0.0,0.5,1.0,5,5,0.0,0.0,0.6,0.6060606060606061,0.3860759493670886,0.0,0.5,1.0,5,5,0.0,0.0,0.6,0.5882352941176471,0.3860759493670886,0.0,0.5,1.0
throttle_biased,5,15,0.0,0.0,False,False,"throttle_biased_micro_trigger_rate_above_ceiling,throttle_biased_micro_floor_hit_rate_above_ceiling,throttle_biased_micro_baseline_false_trigger_rate_above_ceiling,throttle_biased_probe_trigger_rate_below_floor,throttle_biased_probe_recovery_rate_below_floor,throttle_biased_confirm_recovery_rate_below_floor",5,5,0.0,0.0,0.6,0.59375,0.3885350318471338,0.0,0.5,1.0,5,5,0.0,0.0,0.6,0.6060606060606061,0.3860759493670886,0.0,0.5,1.0,5,5,0.0,0.0,0.6,0.6060606060606061,0.3860759493670886,0.0,0.47368421052631576,1.0
