received_time_ns,base_mode,custom_mode,system_status
1775929294725369123,209,20,3
1775929295719989047,209,20,4
1775929296712578835,209,20,4
1775929297706424609,209,20,4
1775929298705523839,209,20,4
1775929299711396117,209,20,4
1775929300713377649,209,20,4
1775929301711065947,209,20,4
1775929302703309862,209,20,4
1775929305717782080,209,20,4
1775929305719724448,209,9,4
1775929305748500487,209,9,4
1775929305783607494,209,9,4
