sample_id,run_id,backend,mode,scenario,config_profile,seed,timestamp,logical_step,command_roll,command_pitch,command_yaw,command_throttle,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,altitude,vertical_speed,heading,integrator_roll,integrator_pitch,integrator_yaw,control_output_roll,control_output_pitch,control_output_yaw,torque_achieved,thrust_achieved,saturation_ratio,tracking_error_roll,tracking_error_pitch,tracking_error_yaw,tracking_error_rate_roll,tracking_error_rate_pitch,tracking_error_rate_yaw,run_status,runtime_failsafe,quality_alignment_attitude_ns,quality_alignment_rates_ns,quality_alignment_position_ns,quality_alignment_attitude_setpoint_ns,quality_alignment_rates_setpoint_ns,quality_alignment_integrator_ns,quality_alignment_allocator_ns,quality_alignment_actuator_ns,quality_alignment_status_ns,quality_missing_attitude,quality_missing_rates,quality_missing_local_position,quality_missing_attitude_setpoint,quality_missing_rates_setpoint,quality_missing_integrator,quality_missing_allocator,quality_missing_actuator,quality_missing_status,quality_alignment_failed,actuator_1,actuator_2,actuator_3,actuator_4,backend_px4,mode_offboard_attitude,mode_posctl,scenario_nominal,config_profile_px4_real_offboard_attitude_nominal,config_profile_px4_real_posctl_nominal,tracking_error_magnitude,control_effort_magnitude,quality_future_horizon_available,quality_delta_state_available,baseline_state_roll,future_state_roll,delta_state_roll,baseline_state_pitch,future_state_pitch,delta_state_pitch,baseline_state_yaw,future_state_yaw,delta_state_yaw,baseline_state_roll_rate,future_state_roll_rate,delta_state_roll_rate,baseline_state_pitch_rate,future_state_pitch_rate,delta_state_pitch_rate,baseline_state_yaw_rate,future_state_yaw_rate,delta_state_yaw_rate,baseline_state_position_x,future_state_position_x,delta_state_position_x,baseline_state_position_y,future_state_position_y,delta_state_position_y,baseline_state_position_z,future_state_position_z,delta_state_position_z,baseline_state_velocity_x,future_state_velocity_x,delta_state_velocity_x,baseline_state_velocity_y,future_state_velocity_y,delta_state_velocity_y,baseline_state_velocity_z,future_state_velocity_z,delta_state_velocity_z,baseline_state_altitude,future_state_altitude,delta_state_altitude,baseline_state_vertical_speed,future_state_vertical_speed,delta_state_vertical_speed,baseline_state_heading,future_state_heading,delta_state_heading,quality_window_summary_available,window_mean_roll,window_peak_roll,window_rms_roll,window_mean_pitch,window_peak_pitch,window_rms_pitch,window_mean_yaw,window_peak_yaw,window_rms_yaw,window_mean_roll_rate,window_peak_roll_rate,window_rms_roll_rate,window_mean_pitch_rate,window_peak_pitch_rate,window_rms_pitch_rate,window_mean_yaw_rate,window_peak_yaw_rate,window_rms_yaw_rate,window_mean_altitude,window_peak_altitude,window_rms_altitude,window_mean_vertical_speed,window_peak_vertical_speed,window_rms_vertical_speed,quality_actuator_response_available,quality_tracking_error_available
20260407_025915_px4_manual_broad_composite_r1:000000,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966053050368,0,0.0,0.0,0.0,0.0,0.005522102875319919,0.0001689450522576674,1.5741913395512748,0.0001391748373862356,3.0093913665041327e-05,0.00014159124111756682,-0.011590524576604366,-0.10539780557155609,-0.11052840948104858,0.056582510471343994,0.016915379092097282,0.035316795110702515,0.11052840948104858,-0.035316795110702515,1.5741660594940186,0.0,0.0,0.0,-0.028138067573308945,0.001978169893845916,-8.874233026290312e-05,nan,nan,2.0,-0.005522102875319919,-0.0001689450522576674,0.0008184832941842135,-0.02827724241069518,0.0019480759801808745,-0.00023033357138046995,completed,0,2181888.0,2657536.0,2401024.0,10657536.0,2657536.0,37342464.0,37342464.0,37342464.0,13659392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020130889024585485,1.4397281120182015e-05,0.0004457785398699343,0.00152673595584929,1.0,0.0,1.0,1.0,0.0,1.0,0.028890181194153805,0.0010000001698244887,1.0,1.0,0.005522102875319919,0.005540574930443603,1.8472055123683676e-05,0.0001689450522576674,-2.2770163050603086e-05,-0.00019171521530827047,1.5741913395512748,1.5751854377098136,0.000994098158538792,0.0001391748373862356,0.00026471284218132496,0.00012553800479508936,3.0093913665041327e-05,5.609782238025218e-05,2.6003908715210855e-05,0.00014159124111756682,-3.613668377511203e-05,-0.00017772792489267886,-0.011590524576604366,-0.005171316675841808,0.006419207900762558,-0.10539780557155609,-0.09558194875717163,0.00981585681438446,-0.11052840948104858,-0.11180782318115234,-0.0012794137001037598,0.056582510471343994,0.057175371795892715,0.0005928613245487213,0.016915379092097282,0.02162182703614235,0.004706447944045067,0.035316795110702515,0.036809153854846954,0.0014923587441444397,0.11052840948104858,0.11180782318115234,0.0012794137001037598,-0.035316795110702515,-0.036809153854846954,-0.0014923587441444397,1.5741660594940186,1.5751852989196777,0.0010192394256591797,1.0,0.005538769400977394,0.005540574930443603,0.005538769695260865,3.0328261897427646e-05,8.342668684545838e-05,6.114937613484387e-05,1.5749316672619558,1.5751854377098136,1.5749316877071096,0.00022116288891993463,0.00026471284218132496,0.00022540989744126283,7.802752224961296e-05,9.995722211897373e-05,8.105063827493333e-05,4.659690603148192e-05,0.00012933049583807588,9.495324393612101e-05,0.11150084435939789,0.11180782318115234,0.11150126693834325,-0.036470238119363785,0.036809153854846954,0.036471812847168064,1.0,1.0
20260407_025915_px4_manual_broad_composite_r1:000001,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966102714880,1,0.0,0.0,0.0,0.0,0.005536963871511185,8.342668684545838e-05,1.5746778968140982,0.0001776129356585443,9.995722211897373e-05,0.00012933049583807588,-0.008480898104608059,-0.10056425631046295,-0.11119386553764343,0.056793905794620514,0.019214773550629616,0.036131322383880615,0.11119386553764343,-0.036131322383880615,1.5746777057647705,0.0,0.0,0.0,-0.028119664639234543,0.002232580678537488,-9.055783448275179e-05,nan,nan,2.0,-0.005536963871511185,-8.342668684545838e-05,0.0005209919645883243,-0.028297277574893087,0.0021326234564185143,-0.00021988833032082766,completed,0,1476352.0,4993024.0,1644288.0,8993024.0,7006976.0,87006976.0,87006976.0,12993024.0,36005120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00200000056065619,0.0,0.0005861508543603122,0.0014138494152575731,1.0,0.0,1.0,1.0,0.0,1.0,0.02891831103970093,0.0010000002075685188,1.0,1.0,0.005536963871511185,0.005546070386513404,9.106515002218867e-06,8.342668684545838e-05,-0.00012915021581996812,-0.0002125769026654265,1.5746778968140982,1.5757025822122854,0.0010246853981872306,0.0001776129356585443,0.00013064424274489284,-4.6968692913651466e-05,9.995722211897373e-05,0.00010545978148002177,5.502559361048043e-06,0.00012933049583807588,0.00021489360369741917,8.556310785934329e-05,-0.008480898104608059,-0.0022770711220800877,0.006203826982527971,-0.10056425631046295,-0.09033340960741043,0.01023084670305252,-0.11119386553764343,-0.11292822659015656,-0.0017343610525131226,0.056793905794620514,0.057357244193553925,0.0005633383989334106,0.019214773550629616,0.024266626685857773,0.005051853135228157,0.036131322383880615,0.03719502314925194,0.0010637007653713226,0.11119386553764343,0.11292822659015656,0.0017343610525131226,-0.036131322383880615,-0.03719502314925194,-0.0010637007653713226,1.5746777057647705,1.5756590366363525,0.0009813308715820312,1.0,0.005543322658478503,0.005546070386513404,0.005543323339478812,-7.59601894352856e-05,0.00012915021581996812,9.273149026003894e-05,1.5754440099610494,1.5757025822122854,1.5754440311803402,0.0001976785424631089,0.00026471284218132496,0.00020873524735667135,8.077880193013698e-05,0.00010545978148002177,8.446517384585278e-05,8.937845996115357e-05,0.00021489360369741917,0.00015408621097347727,0.11236802488565445,0.11292822659015656,0.11236942129713397,-0.037002088502049446,0.03719502314925194,0.03700259149426687,1.0,1.0
20260407_025915_px4_manual_broad_composite_r1:000002,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966152739840,2,0.0,0.0,0.0,0.0,0.005540574930443603,-2.2770163050603086e-05,1.5751854377098136,0.00026471284218132496,5.609782238025218e-05,-3.613668377511203e-05,-0.005171316675841808,-0.09558194875717163,-0.11180782318115234,0.057175371795892715,0.02162182703614235,0.036809153854846954,0.11180782318115234,-0.036809153854846954,1.5751852989196777,0.0,0.0,0.0,-0.02815183438360691,0.002492826897650957,-3.720468521350995e-05,nan,nan,2.0,-0.005540574930443603,2.2770163050603086e-05,0.0001961989097543082,-0.028416547225788236,0.002436729075270705,-1.0680014383979142e-06,completed,0,2477312.0,2968064.0,603136.0,14968064.0,2968064.0,62968064.0,62968064.0,37031936.0,10908672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00200000056065619,0.0,0.0005861508543603122,0.0014138494152575731,1.0,0.0,1.0,1.0,0.0,1.0,0.029054686179938755,0.0010000002075685188,1.0,1.0,0.005540574930443603,0.0055801319778859895,3.9557047442386785e-05,-2.2770163050603086e-05,-0.00028140727966614616,-0.00025863711661554305,1.5751854377098136,1.57619784490158,0.00101240719176654,0.00026471284218132496,0.00014390354044735432,-0.00012080930173397064,5.609782238025218e-05,5.715165752917528e-05,1.053835148923099e-06,-3.613668377511203e-05,4.251873542671092e-05,7.865541920182295e-05,-0.005171316675841808,-0.0010230750776827335,0.004148241598159075,-0.09558194875717163,-0.08232484757900238,0.01325710117816925,-0.11180782318115234,-0.11767788976430893,-0.005870066583156586,0.057175371795892715,0.055956531316041946,-0.001218840479850769,0.02162182703614235,0.028561720624566078,0.006939893588423729,0.036809153854846954,0.03655363619327545,-0.0002555176615715027,0.11180782318115234,0.11767788976430893,0.005870066583156586,-0.036809153854846954,-0.03655363619327545,0.0002555176615715027,1.5751852989196777,1.5761587619781494,0.0009734630584716797,1.0,0.005563101182199697,0.0055801319778859895,0.00556312725105164,-0.00020527874774305712,0.00028140727966614616,0.00021894044315229306,1.5759502135569328,1.57619784490158,1.575950233012269,0.00013727389159612358,0.00014390354044735432,0.00013743388795284413,8.130571950459853e-05,0.00010545978148002177,8.48176793721276e-05,0.00012870616956206504,0.00021489360369741917,0.00015489852125238332,0.11530305817723274,0.11767788976430893,0.11532751211263205,-0.036874329671263695,0.03719502314925194,0.036875724169321236,1.0,1.0
20260407_025915_px4_manual_broad_composite_r1:000003,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966202532864,3,0.0,0.0,0.0,0.0,0.005546070386513404,-0.00012915021581996812,1.5757025822122854,0.00013064424274489284,0.00010545978148002177,0.00021489360369741917,-0.0022770711220800877,-0.09033340960741043,-0.11292822659015656,0.057357244193553925,0.024266626685857773,0.03719502314925194,0.11292822659015656,-0.03719502314925194,1.5756590366363525,0.0,0.0,0.0,-0.02814304642379284,0.002479823539033532,-2.9586999517050572e-05,nan,nan,2.0,-0.005546070386513404,0.00012915021581996812,-0.00023678383429470706,-0.028273690666537732,0.0023743637575535104,-0.00024448060321446974,completed,0,1972992.0,5175040.0,1790464.0,13175040.0,6824960.0,13175040.0,13175040.0,13175040.0,38884352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000003278255463,0.0,0.0004469660925678909,0.0015530344098806381,1.0,0.0,1.0,1.0,0.0,1.0,0.028912464457741836,0.0010000002075685188,1.0,1.0,0.005546070386513404,0.005617280881242301,7.121049472889711e-05,-0.00012915021581996812,-0.0004306797724855899,-0.0003015295566656217,1.5757025822122854,1.5766320455077523,0.0009294632954668369,0.00013064424274489284,0.00011844601249322295,-1.2198230251669884e-05,0.00010545978148002177,-1.01057521533221e-05,-0.00011556553363334388,0.00021489360369741917,-9.61791374720633e-05,-0.00031107274116948247,-0.0022770711220800877,0.0006175167509354651,0.0028945878730155528,-0.09033340960741043,-0.07380658388137817,0.016526825726032257,-0.11292822659015656,-0.12201786786317825,-0.009089641273021698,0.057357244193553925,0.054908283054828644,-0.0024489611387252808,0.024266626685857773,0.032952576875686646,0.008685950189828873,0.03719502314925194,0.036125507205724716,-0.0010695159435272217,0.11292822659015656,0.12201786786317825,0.009089641273021698,-0.03719502314925194,-0.036125507205724716,0.0010695159435272217,1.5756590366363525,1.576632022857666,0.0009729862213134766,1.0,0.005598706429564145,0.005617280881242301,0.005598737241083746,-0.000356043526075868,0.0004306797724855899,0.00036378229992492766,1.5764149452046663,1.5766320455077523,1.5764149601539477,0.00013117477647028863,0.00014390354044735432,0.00013179090793531258,2.352295268792659e-05,5.715165752917528e-05,4.1039238448809646e-05,-2.6830201022676192e-05,9.61791374720633e-05,7.435815135933885e-05,0.11984787881374359,0.12201786786317825,0.11986752232622662,-0.036339571699500084,0.03655363619327545,0.03634020218587952,1.0,1.0
20260407_025915_px4_manual_broad_composite_r1:000004,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966252723456,4,0.0,0.0,0.0,0.0,0.0055801319778859895,-0.00028140727966614616,1.57619784490158,0.00014390354044735432,5.715165752917528e-05,4.251873542671092e-05,-0.0010230750776827335,-0.08232484757900238,-0.11767788976430893,0.055956531316041946,0.028561720624566078,0.03655363619327545,0.11767788976430893,-0.03655363619327545,1.5761587619781494,0.0,0.0,0.0,-0.02810925617814064,0.002255605533719063,2.366696389799472e-05,nan,nan,2.0,-0.0055801319778859895,0.00028140727966614616,-0.0007769884257500248,-0.028253159718587995,0.0021984538761898875,-1.88517715287162e-05,completed,0,3758592.0,2984448.0,4689152.0,10984448.0,2984448.0,37015552.0,37015552.0,37015552.0,20611328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000003278255463,0.0,0.0004469660925678909,0.0015530344098806381,1.0,0.0,1.0,1.0,0.0,1.0,0.028894555938454768,0.0010000002075685188,1.0,1.0,0.0055801319778859895,0.005672662203433249,9.253022554725921e-05,-0.00028140727966614616,-0.0005215122073649154,-0.00024010492769876925,1.57619784490158,1.576947657411812,0.0007498125102318731,0.00014390354044735432,9.706118726171553e-05,-4.6842353185638785e-05,5.715165752917528e-05,-6.536138243973255e-05,-0.00012251303996890783,4.251873542671092e-05,0.00012798851821571589,8.546978278900497e-05,-0.0010230750776827335,-0.000295517296763137,0.0007275577809195966,-0.08232484757900238,-0.06952507048845291,0.012799777090549469,-0.11767788976430893,-0.12405087798833847,-0.006372988224029541,0.055956531316041946,0.053475137799978256,-0.00248139351606369,0.028561720624566078,0.034763772040605545,0.006202051416039467,0.03655363619327545,0.036498378962278366,-5.525723099708557e-05,0.11767788976430893,0.12405087798833847,0.006372988224029541,-0.03655363619327545,-0.036498378962278366,5.525723099708557e-05,1.5761587619781494,1.5769476890563965,0.0007889270782470703,1.0,0.005644971542337775,0.005672662203433249,0.005645039458366542,-0.0004760959899252526,0.0005215122073649154,0.00047825727849080664,1.576789851459782,1.576947657411812,1.5767898593564331,0.00010775359987746924,0.00011844601249322295,0.00010828280553300818,-3.7733567296527326e-05,6.536138243973255e-05,4.676663629670918e-05,1.590469037182629e-05,0.00012798851821571589,0.00011320664132444856,0.12303437292575836,0.12405087798833847,0.12303857201616424,-0.03631194308400154,0.036498378962278366,0.036312421688348966,1.0,1.0
20260407_025915_px4_manual_broad_composite_r1:000005,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966302678784,5,0.0,0.0,0.0,0.0,0.005617280881242301,-0.0004306797724855899,1.5766320455077523,0.00011844601249322295,-1.01057521533221e-05,-9.61791374720633e-05,0.0006175167509354651,-0.07380658388137817,-0.12201786786317825,0.054908283054828644,0.032952576875686646,0.036125507205724716,0.12201786786317825,-0.036125507205724716,1.576632022857666,0.0,0.0,0.0,-0.028081929311156273,0.0020852708257734776,4.196711233817041e-05,nan,nan,2.0,-0.005617280881242301,0.0004306797724855899,-0.0013207423690193565,-0.028200375323649496,0.0020953765779267997,0.0001381462498102337,completed,0,2956544.0,1029120.0,3835136.0,9029120.0,6970880.0,86970880.0,86970880.0,13029120.0,29344000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002021088032051921,2.319680424989201e-05,0.00032939453376457095,0.001626320998184383,1.0,0.0,1.0,1.0,0.0,1.0,0.02886441660167206,0.0010000000920626917,1.0,1.0,0.005617280881242301,0.005746068688761434,0.00012878780751913316,-0.0004306797724855899,-0.000559450111203519,-0.00012877033871792914,1.5766320455077523,1.5773438432594526,0.0007117977517003826,0.00011844601249322295,0.00010417263547424227,-1.4273377018980682e-05,-1.01057521533221e-05,-6.443762686103582e-06,3.6619894672185183e-06,-9.61791374720633e-05,0.00010722214938141406,0.00020340128685347736,0.0006175167509354651,-0.0018974058330059052,-0.0025149225839413702,-0.07380658388137817,-0.06674443930387497,0.007062144577503204,-0.12201786786317825,-0.1251104474067688,-0.0030925795435905457,0.054908283054828644,0.05211847648024559,-0.0027898065745830536,0.032952576875686646,0.03551805391907692,0.002565477043390274,0.036125507205724716,0.037209924310445786,0.0010844171047210693,0.12201786786317825,0.1251104474067688,0.0030925795435905457,-0.036125507205724716,-0.037209924310445786,-0.0010844171047210693,1.576632022857666,1.5773438215255737,0.0007117986679077148,1.0,0.0057093654460973415,0.005746068688761434,0.005709483420162664,-0.0005404811592842172,0.000559450111203519,0.0005408139279624076,1.5771457503356323,1.5773438432594526,1.5771457627760825,0.0001006169113679789,0.00010417263547424227,0.00010067972003910015,-3.590257256291807e-05,6.536138243973255e-05,4.644153524587554e-05,0.00011760533379856497,0.00012798851821571589,0.00011806280132417854,0.12458066269755363,0.1251104474067688,0.12458178915876811,-0.036854151636362076,0.037209924310445786,0.03685586882752317,1.0,1.0
20260407_025915_px4_manual_broad_composite_r1:000006,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966352715776,6,0.0,0.0,0.0,0.0,0.005672662203433249,-0.0005215122073649154,1.576947657411812,9.706118726171553e-05,-6.536138243973255e-05,0.00012798851821571589,-0.000295517296763137,-0.06952507048845291,-0.12405087798833847,0.053475137799978256,0.034763772040605545,0.036498378962278366,0.12405087798833847,-0.036498378962278366,1.5769476890563965,0.0,0.0,0.0,-0.02844865433871746,0.0013221597764641047,4.229971091262996e-05,nan,nan,2.0,-0.005672662203433249,0.0005215122073649154,-0.001846639459846644,-0.028545715525979176,0.0013875211589038372,-8.568880730308592e-05,completed,0,4671488.0,2992128.0,1771008.0,14992128.0,2992128.0,62992128.0,62992128.0,37007872.0,79380992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002021088032051921,2.319680424989201e-05,0.00032939453376457095,0.001626320998184383,1.0,0.0,1.0,1.0,0.0,1.0,0.02920019830719622,0.0010000000920626917,1.0,1.0,0.005672662203433249,0.005809320787886321,0.00013665858445307232,-0.0005215122073649154,-0.0005745981854633103,-5.3085978098394945e-05,1.576947657411812,1.5776553859327873,0.000707728520975337,9.706118726171553e-05,2.3890574084362015e-05,-7.317061317735352e-05,-6.536138243973255e-05,-5.4767297115176916e-05,1.0594085324555635e-05,0.00012798851821571589,1.6082547517726198e-05,-0.00011190597069798969,-0.000295517296763137,-0.003021874465048313,-0.002726357168285176,-0.06952507048845291,-0.06409803777933121,0.005427032709121704,-0.12405087798833847,-0.12569598853588104,-0.001645110547542572,0.053475137799978256,0.05107182264328003,-0.002403315156698227,0.034763772040605545,0.0360981822013855,0.001334410160779953,0.036498378962278366,0.03804979473352432,0.0015514157712459564,0.12405087798833847,0.12569598853588104,0.001645110547542572,-0.036498378962278366,-0.03804979473352432,-0.0015514157712459564,1.5769476890563965,1.5776822566986084,0.0007345676422119141,1.0,0.005777694738323878,0.005809320787886321,0.005777781295295483,-0.0005670241483334147,0.0005745981854633103,0.0005670747312583054,1.57749961459612,1.5776553859327873,1.5774996222869964,6.403160477930214e-05,0.00010417263547424227,7.557346595111855e-05,-3.060552990064025e-05,5.4767297115176916e-05,3.89934540074157e-05,6.165234844957013e-05,0.00010722214938141406,7.666563001968415e-05,0.12540321797132492,0.12569598853588104,0.12540355972685585,-0.037629859521985054,0.03804979473352432,0.037632202609284245,1.0,1.0
20260407_025915_px4_manual_broad_composite_r1:000007,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966403294464,7,0.0,0.0,0.0,0.0,0.005746068688761434,-0.000559450111203519,1.5773438432594526,0.00010417263547424227,-6.443762686103582e-06,0.00010722214938141406,-0.0018974058330059052,-0.06674443930387497,-0.1251104474067688,0.05211847648024559,0.03551805391907692,0.037209924310445786,0.1251104474067688,-0.037209924310445786,1.5773438215255737,0.0,0.0,0.0,-0.028721444308757782,0.0008200308075174689,4.434019137988798e-05,nan,nan,2.0,-0.005746068688761434,0.000559450111203519,-0.0024403551002729618,-0.028825616944232024,0.0008264745702035725,-6.288195800152607e-05,completed,0,3554816.0,4413440.0,540928.0,12413440.0,7586560.0,12413440.0,12413440.0,12413440.0,113579776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002012361539527774,1.3597275028587319e-05,0.0,0.0019740418065339327,1.0,0.0,1.0,1.0,0.0,1.0,0.029510825630431795,0.0010000001552725735,1.0,1.0,0.005746068688761434,0.005876270331497418,0.00013020164273598415,-0.000559450111203519,-0.0005571259358512922,2.3241753522268253e-06,1.5773438432594526,1.5779268067892012,0.0005829635297485147,0.00010417263547424227,-3.965106589021161e-05,-0.00014382370136445388,-6.443762686103582e-06,0.0001866718812379986,0.0001931156439241022,0.00010722214938141406,-0.00021575854043476284,-0.0003229806898161769,-0.0018974058330059052,-0.004112235736101866,-0.0022148299030959606,-0.06674443930387497,-0.06297207623720169,0.003772363066673279,-0.1251104474067688,-0.12387330830097198,0.001237139105796814,0.05211847648024559,0.05005853995680809,-0.0020599365234375,0.03551805391907692,0.036100342869758606,0.0005822889506816864,0.037209924310445786,0.039618782699108124,0.0024088583886623383,0.1251104474067688,0.12387330830097198,-0.001237139105796814,-0.037209924310445786,-0.039618782699108124,-0.0024088583886623383,1.5773438215255737,1.5779823064804077,0.0006384849548339844,1.0,0.00584279555969187,0.005876270331497418,0.005842891451387957,-0.0005658620606573013,0.0005745981854633103,0.0005659294934600541,1.5777910963609942,1.5779268067892012,1.5777911021974198,-7.880245902924798e-06,3.965106589021161e-05,3.273351918378387e-05,6.595229206141084e-05,0.0001866718812379986,0.00013756061950688416,-9.983799645851832e-05,0.00021575854043476284,0.00015298757483076707,0.12478464841842651,0.12569598853588104,0.12478797627063273,-0.03883428871631622,0.039618782699108124,0.038842211714978876,1.0,1.0
20260407_025915_px4_manual_broad_composite_r1:000008,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966452654080,8,0.0,0.0,0.0,0.0,0.005809320787886321,-0.0005745981854633103,1.5776553859327873,2.3890574084362015e-05,-5.4767297115176916e-05,1.6082547517726198e-05,-0.003021874465048313,-0.06409803777933121,-0.12569598853588104,0.05107182264328003,0.0360981822013855,0.03804979473352432,0.12569598853588104,-0.03804979473352432,1.5776822566986084,0.0,0.0,0.0,-0.02878405712544918,-4.610289397533052e-05,7.600717799505219e-05,nan,nan,2.0,-0.005809320787886321,0.0005745981854633103,-0.0029230823134025474,-0.028807947699533543,8.6644031398464e-06,5.992463047732599e-05,completed,0,5948928.0,3053824.0,7107072.0,11053824.0,3053824.0,36946176.0,36946176.0,36946176.0,64220160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002012361539527774,1.3597275028587319e-05,0.0,0.0019740418065339327,1.0,0.0,1.0,1.0,0.0,1.0,0.029538522271679607,0.0010000001552725735,1.0,1.0,0.005809320787886321,0.005942003417592962,0.00013268262970664128,-0.0005745981854633103,-0.0005189604509569294,5.563773450638094e-05,1.5776553859327873,1.5781392669944319,0.00048388106164454214,2.3890574084362015e-05,1.8189384718425572e-05,-5.701189365936443e-06,-5.4767297115176916e-05,-0.0001397620071657002,-8.499471005052328e-05,1.6082547517726198e-05,-8.542599971406162e-06,-2.462514748913236e-05,-0.003021874465048313,-0.0046450672671198845,-0.0016231928020715714,-0.06409803777933121,-0.06187739223241806,0.002220645546913147,-0.12569598853588104,-0.12218441069126129,0.003511577844619751,0.05107182264328003,0.049299489706754684,-0.0017723329365253448,0.0360981822013855,0.036249663680791855,0.0001514814794063568,0.03804979473352432,0.04094580188393593,0.002896007150411606,0.12569598853588104,0.12218441069126129,-0.003511577844619751,-0.03804979473352432,-0.04094580188393593,-0.002896007150411606,1.5776822566986084,1.578165888786316,0.00048363208770751953,1.0,0.00590913687454519,0.005942003417592962,0.005909228275482478,-0.0005380431934041109,0.0005571259358512922,0.0005383814902351295,1.5780330368918165,1.5781392669944319,1.578033040467418,-1.073084058589302e-05,3.965106589021161e-05,3.084688592601202e-05,2.3454937036149204e-05,0.0001866718812379986,0.0001648936170564505,-0.0001121505702030845,0.00021575854043476284,0.00015268386258018667,0.12302885949611664,0.12387330830097198,0.12303175753722789,-0.040282292291522026,0.04094580188393593,0.040287756418530433,1.0,1.0
20260407_025915_px4_manual_broad_composite_r1:000009,20260407_025915_px4_manual_broad_composite_r1,px4,POSCTL,nominal,px4_real_posctl_nominal,101,1775555966502573824,9,0.0,0.0,0.0,0.0,0.005876270331497418,-0.0005571259358512922,1.5779268067892012,-3.965106589021161e-05,0.0001866718812379986,-0.00021575854043476284,-0.004112235736101866,-0.06297207623720169,-0.12387330830097198,0.05005853995680809,0.036100342869758606,0.039618782699108124,0.12387330830097198,-0.039618782699108124,1.5779823064804077,0.0,0.0,0.0,-0.02861711010336876,-0.0006135777803137898,1.6637561202514917e-05,nan,nan,2.0,-0.005876270331497418,0.0005571259358512922,-0.0032847446020063398,-0.028577459037478548,-0.0008002496615517884,0.00023239610163727775,completed,0,3631104.0,5134080.0,5860096.0,9134080.0,6865920.0,86865920.0,86865920.0,13134080.0,14300416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018286400008946657,0.00017136034148279577,8.519747407564893e-14,0.0020000003278255463,1.0,0.0,1.0,1.0,0.0,1.0,0.029376794616249046,0.0010000001675720513,1.0,1.0,0.005876270331497418,0.005986388611748392,0.00011011828025097366,-0.0005571259358512922,-0.0004890405728465996,6.808536300469256e-05,1.5779268067892012,1.5782063098627903,0.00027950307358914905,-3.965106589021161e-05,-0.00014258877490647137,-0.00010293770901625976,0.0001866718812379986,-0.00015566445654258132,-0.0003423363377805799,-0.00021575854043476284,-0.0001208526809932664,9.490585944149643e-05,-0.004112235736101866,-0.005495209246873856,-0.0013829735107719898,-0.06297207623720169,-0.06027764827013016,0.002694427967071533,-0.12387330830097198,-0.12402036786079407,-0.00014705955982208252,0.05005853995680809,0.0485578216612339,-0.0015007182955741882,0.036100342869758606,0.03694858029484749,0.0008482374250888824,0.039618782699108124,0.041356395930051804,0.0017376132309436798,0.12387330830097198,0.12402036786079407,0.00014705955982208252,-0.039618782699108124,-0.041356395930051804,-0.0017376132309436798,1.5779823064804077,1.578214406967163,0.0002321004867553711,1.0,0.005964196014670678,0.005986388611748392,0.005964237303526633,-0.0005040005119017646,0.0005189604509569294,0.0005042224863825243,1.5781727884286112,1.5782063098627903,1.5781727887846198,-6.21996950940229e-05,0.00014258877490647137,0.00010164254140310358,-0.00014771323185414076,0.00015566445654258132,0.00014792707946431312,-6.469764048233628e-05,0.0001208526809932664,8.566897489036414e-05,0.12310238927602768,0.12402036786079407,0.12310581192676788,-0.041151098906993866,0.041356395930051804,0.041151611002740444,1.0,1.0
