feature,window_mean_roll,window_mean_pitch,window_mean_yaw,window_mean_roll_rate,window_mean_pitch_rate,window_mean_yaw_rate,window_peak_roll,window_peak_pitch,window_peak_yaw,window_peak_roll_rate,window_peak_pitch_rate,window_peak_yaw_rate
command_roll,0.0,0.0,-0.34062388199512633,0.022679143856638304,0.0,-0.11113651721677546,0.0,0.0,-0.34062388199512633,-0.021231763300667065,0.0,-0.11113651721677546
command_pitch,0.0,0.0,-0.00883650835235289,0.001709305995387475,0.0003855750256610777,-0.034051146038250116,0.0,0.0,-0.00883650835235289,-0.00233823286858785,-0.000853767297536397,-0.034051146038250116
command_yaw,-1.972874941889298e-05,0.0,-1.0913555349036366,0.23129780683429985,0.022468017672245325,-0.4357313158464375,-1.972874941889298e-05,0.0,-1.0913555349036366,-0.22234276248937446,-0.018216369213204218,-0.4357313158464375
command_throttle,-0.060674365628557284,0.0019815903848647482,-3.14941492101805,0.4774677429779677,0.10219375663249324,-1.0092572203591637,-0.060674365628557284,0.0019815903848647482,-3.14941492101805,-0.45888933463844905,-0.09330962730091422,-1.0092572203591637
roll,0.4150827836682002,-0.009035444777089504,8.47004769772428,-1.22515689953705,-0.22851284953957882,2.551674300457691,0.4150827836682002,-0.009035444777089504,8.47004769772428,1.1565254519783426,0.16710496074727355,2.551674300457691
pitch,0.1017383205356467,0.9976001793967797,-3.0457267874724883,-0.5456408149957852,-0.6795618732018963,3.5939887192370232,0.1017383205356467,0.9976001793967797,-3.0457267874724883,0.6249825278355474,0.827489152205433,3.5939887192370232
yaw,-0.002692671000352277,0.000443795518038001,0.05453456140248458,-0.0030596455724778183,-0.0024411875637558324,0.00911503534925543,-0.002692671000352277,0.000443795518038001,0.05453456140248458,0.0028292356520683687,0.0024858005750097666,0.00911503534925543
roll_rate,0.0015476160038981248,-0.0001161623184871734,0.07375022220408808,0.20280685339423257,-0.0011341852694524992,-0.002402778263452504,0.0015476160038981248,-0.0001161623184871734,0.07375022220408808,-0.19847971242484003,0.006293100151281003,-0.002402778263452504
pitch_rate,0.007697007335549378,0.0,0.01985411966088632,-0.04716829522918872,0.9400078317729121,0.06161682878256723,0.007697007335549378,0.0,0.01985411966088632,0.06949884867418253,-0.8937176188769567,0.06161682878256723
yaw_rate,-0.0006653224030348155,0.00028077065248703924,-0.06756805003568318,0.03548238597627054,0.08027218958511806,0.1571319583476911,-0.0006653224030348155,0.00028077065248703924,-0.06756805003568318,-0.03038515146917216,-0.07214483139100522,0.1571319583476911
