received_time_ns,event_type,field_name,previous_value,current_value
1775885472283997257,vehicle_status_events,nav_state,4,2
1775885472283997257,vehicle_status_events,pre_flight_checks_pass,True,False
1775885472420176672,vehicle_status_events,pre_flight_checks_pass,False,True
1775885473555073696,vehicle_status_events,arming_state,1,2
1775885473555073696,vehicle_status_events,nav_state,2,14
1775885482770357464,vehicle_status_events,nav_state,14,2
1775885490886890423,vehicle_status_events,nav_state,2,18
1775885496724770901,vehicle_status_events,arming_state,2,1
1775885496724770901,vehicle_status_events,nav_state,18,2
1775885497437659074,vehicle_status_events,pre_flight_checks_pass,True,False
