received_time_ns,event_type,field_name,previous_value,current_value
1775897293802335473,vehicle_status_events,nav_state,4,2
1775897293802335473,vehicle_status_events,pre_flight_checks_pass,True,False
1775897293911269811,vehicle_status_events,pre_flight_checks_pass,False,True
1775897295041265087,vehicle_status_events,arming_state,1,2
1775897295041265087,vehicle_status_events,nav_state,2,14
1775897304352628888,vehicle_status_events,nav_state,14,2
1775897312445679348,vehicle_status_events,nav_state,2,18
1775897319364904792,vehicle_status_events,arming_state,2,1
1775897319364904792,vehicle_status_events,nav_state,18,2
1775897320046029561,vehicle_status_events,pre_flight_checks_pass,True,False
