feature,window_mean_roll,window_mean_pitch,window_mean_yaw,window_mean_roll_rate,window_mean_pitch_rate,window_mean_yaw_rate,window_peak_roll,window_peak_pitch,window_peak_yaw,window_peak_roll_rate,window_peak_pitch_rate,window_peak_yaw_rate
command_roll,0.06889208610217643,-0.0011711309770632004,-0.0035117959953914783,0.0023733170782672904,0.002271328754571947,8.51809677007995e-05,0.026026464336428613,-0.0032322163929880982,0.02014018211436215,0.02827717179273701,0.015380928497922622,0.004334000136730126
command_pitch,0.002232176706242123,0.10252033311125935,0.036129105849339614,0.00980306067427326,0.007982935890653551,-0.009370432113955237,-0.015343282627236787,0.08809277318099362,0.06979772716778294,0.010793576126773433,0.02610415985515782,0.012481673471355766
command_yaw,0.0017703137012583577,-0.0003895831797223212,0.034277538186718734,0.009785195726135574,0.003313933016156766,-0.005905559053833164,-0.005419337151451771,-0.005567963378075389,-0.017252113673050934,-0.021862088362606467,0.021584129488258007,-0.007818830230538558
command_throttle,-1.606729695119065e-05,2.1481725783861516e-06,0.23000676309752977,-0.0019067286258168026,1.6787900885480798e-05,0.02400544097158132,-0.0038663171553030944,-0.004047133609796457,0.29465327307203876,-0.002838072730885819,0.016860946309545193,-0.02824945034353389
roll,0.8958229193696713,-0.00013616758222499703,0.09570501844187725,-0.00025786123561585914,-0.009162352716326577,-0.05313158010670664,0.030902083537016678,0.01575464905309496,0.47426013312932497,-0.025257727240235443,-0.05162493299907334,0.08192384373384143
pitch,0.005259747704679287,0.9056320979490695,-0.013303979764968683,-0.004552802926728391,0.012264312832594744,0.05644705530327657,0.014022790562038583,0.1369279455518417,0.1747798568380512,0.003544005684878414,-0.015315315661257772,-0.04377405108996688
yaw,-0.00022178228492856028,-1.092977477725294e-05,0.9867358563125801,-2.201885310134365e-05,-0.00013618732157612333,0.12790936406066722,-0.004005240701567898,-0.003713507617766366,0.9494348657299309,-0.017136928791977864,-0.009139959976390638,-0.14334318337660654
roll_rate,0.0022450660754565403,-0.0018403346327664823,-0.01380170590122742,0.7196261523008491,-0.07079090926403114,0.5331442216689181,0.017918436730653003,0.012082043234437692,0.010452723446949296,0.12036598997585204,-0.06847533377424231,-0.7159312734345575
pitch_rate,0.005178820724769805,-0.0009713448441277078,-0.03804582588311163,0.11298985742129702,0.7985081231006508,-0.39871771223999575,9.943886720153918e-05,-0.008344625469485249,-0.09225159517583387,0.01865356312584279,-0.05714601341549554,0.40879683316120863
yaw_rate,0.0008153588568287661,5.901002451060009e-05,-0.006366312940854293,-0.019630052479283566,0.001510268158613187,1.0234885078358238,0.010161498684228231,0.007013059170057874,0.012256809581981182,-0.06122498238735539,-0.025171674514430514,-1.0457502857506182
position_x,-0.0003432677426514788,-0.0009365195003163736,0.0014796331865196142,0.0010344790722877758,-0.0016208187118974243,0.0010288450870669058,9.341601144540661e-05,-0.0058395628611188095,0.0024231996643812133,-0.004015043042537082,-0.001339592042748028,-0.00483362853115905
position_y,0.00023489937097306255,-0.0003109043694660199,0.007115474510390763,-0.0040015924674619155,0.0009636319334574441,-0.0010984137849767794,0.007454168234274812,-0.0025475054962987324,-0.0311713390954544,0.008101764705239461,-0.0016537678346790334,0.01914783593620529
position_z,6.03736221513843e-05,1.4524899358812826e-05,0.0011171934670895756,-4.989282523514183e-05,4.79755502726655e-05,0.0007088916493409228,-0.0005895881885594786,-0.000678999770113004,0.0014394492740712288,-0.004065589277834299,-0.0033626548823120117,-0.0014668826521450039
velocity_x,0.002378846705157699,0.004730962244299462,-0.015167781870452993,-0.0031380136703928595,0.0034742162700515285,-0.0008054958935528292,0.009556726105306295,-0.036855366379019976,0.029215992481788203,0.008040444684400691,0.0022649258798886195,0.0153888973514175
velocity_y,-0.008617945665714553,0.0025948491504813975,0.022712085806784795,0.0055951204225840375,-0.0019820856957199124,0.008239308598871033,0.041794632879528296,-0.000917091519708981,0.01838534348411503,-0.004924893189738471,0.0033400244056791067,-0.02680248368658936
velocity_z,0.0005524486995398363,0.0001280613051140078,-0.011406923547702983,0.00020284466636048156,1.3485687342432222e-05,-0.00026280696367719694,-0.003141646820830962,-0.005563413107398424,-0.010055135016206654,0.012515664840496803,0.011260598798705532,0.002839007172926979
altitude,-1.1498226650361682e-07,-2.1630793845058645e-07,-7.069930650573711e-05,6.356000397599334e-07,-2.7557423209226653e-08,-3.5113777099396965e-05,0.0,3.34730787611838e-05,-0.00014220098593459193,4.88755346024714e-09,0.0,0.0001696121742166027
vertical_speed,-1.7401940318095003e-05,-1.450359383019386e-07,4.618562097290594e-05,0.0,-6.176753681556705e-06,-2.957647384610184e-06,0.00010352940763930281,1.279185460122971e-05,3.841391167457646e-05,-1.9057350993630364e-05,-6.497424023812998e-09,-1.4584671866656112e-05
heading,-0.0009578086005191047,-4.9934651095707256e-05,0.014818032333623502,0.0018174462114412624,0.0,-0.1252394205970069,0.003319133274848083,0.0,-0.0027189075386158034,0.01020244391535962,0.003286054432459064,0.1312713472271671
mode_offboard_attitude,-5.076308270028759e-05,7.344455890539217e-05,0.1540876690084687,-0.001522561121768839,9.765462274348106e-05,0.01641449568304853,-0.0015833799611794357,-0.0028173258887251255,0.19642421307129695,-0.005005062711740334,0.008182969106526727,-0.01992825589831558
mode_posctl,1.0421569521961045e-16,6.3146988320681685e-15,-9.535411064310516e-12,3.3855191619371005e-14,-7.864240018147212e-16,-1.177753338503777e-12,6.696165717022519e-14,8.11901362937809e-14,-1.0054131992923584e-11,2.052186876887437e-13,-1.1216337726646808e-13,1.3437725061027042e-12
