received_time_ns,base_mode,custom_mode,system_status
1775762498890854894,209,0,3
1775762499907690851,209,0,3
1775762500921168392,209,0,3
1775762501907644005,209,0,3
1775762502895010158,209,0,3
1775762503889327241,209,0,3
1775762504909654293,209,0,3
1775762505880414430,209,0,3
1775762506897185238,209,0,3
1775762509918198833,81,0,3
1775762509921504122,81,9,3
1775762509968543848,81,9,3
1775762510001885731,81,9,3
