received_time_ns,base_mode,custom_mode,system_status
1775929602286800902,209,20,3
1775929603330279923,209,20,4
1775929604322294020,209,20,4
1775929605317421770,209,20,4
1775929606330774884,209,20,4
1775929607329626970,209,20,4
1775929608325684094,209,20,4
1775929609332071915,209,20,4
1775929610329170887,209,20,4
1775929613330576505,209,20,4
1775929613332233696,209,9,4
1775929613364178149,209,9,4
1775929613397374775,209,9,4
