failure_path,combo,baseline_support,diagnostic_support,baseline_median_test_r2,diagnostic_median_test_r2,baseline_effective_condition_number,diagnostic_effective_condition_number,baseline_conditioning_pruned_features,diagnostic_conditioning_pruned_features,top_edge_overlap_jaccard,baseline_dominant_edges,diagnostic_dominant_edges,baseline_matrix_path,diagnostic_matrix_path,baseline_metrics_path,diagnostic_metrics_path,baseline_abs_heatmap_path,diagnostic_abs_heatmap_path,baseline_heatmap_status,diagnostic_heatmap_status
mixed_mode_full,commands_plus_state_history | selected_state_subset | ols_affine | pooled,partial,partial,1.0,1.0,2157859719.2097044,898540353.8492334,altitude; altitude__lag_1; altitude__lag_2; altitude__lag_3; heading; heading__lag_1; heading__lag_2; heading__lag_3; pitch__lag_1; pitch__lag_2; pitch__lag_3; pitch_rate__lag_1; pitch_rate__lag_2; pitch_rate__lag_3; roll__lag_1; roll__lag_2; roll__lag_3; roll_rate__lag_1; roll_rate__lag_2; roll_rate__lag_3; vertical_speed; vertical_speed__lag_1; vertical_speed__lag_2; vertical_speed__lag_3; yaw__lag_1; yaw__lag_2; yaw__lag_3; yaw_rate__lag_1; yaw_rate__lag_2; yaw_rate__lag_3,altitude; altitude__lag_1; altitude__lag_2; altitude__lag_3; heading; heading__lag_1; heading__lag_2; heading__lag_3; pitch__lag_1; pitch__lag_2; pitch__lag_3; pitch_rate__lag_1; pitch_rate__lag_2; pitch_rate__lag_3; roll__lag_1; roll__lag_2; roll__lag_3; roll_rate__lag_1; roll_rate__lag_2; roll_rate__lag_3; vertical_speed; vertical_speed__lag_1; vertical_speed__lag_2; vertical_speed__lag_3; yaw__lag_1; yaw__lag_2; yaw__lag_3; yaw_rate__lag_1; yaw_rate__lag_2; yaw_rate__lag_3,0.1111111111111111,roll->future_state_roll (0.25); roll__lag_2->future_state_roll (0.25); roll__lag_3->future_state_roll (0.25); roll__lag_1->future_state_roll (0.25); pitch->future_state_pitch (0.25),yaw_rate->future_state_yaw_rate (0.25); pitch_rate__lag_1->future_state_pitch_rate (0.25); pitch_rate__lag_2->future_state_pitch_rate (0.25); pitch_rate__lag_3->future_state_pitch_rate (0.25); roll_rate__lag_1->future_state_roll_rate (0.25),/mnt/nvme/autopilot_lab/artifacts/studies/20260413_070802_ardupilot_real_generalization_ablation/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/matrix_f.csv,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_091420_ardupilot_generalization_diagnostic_matrix/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/matrix_f.csv,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_070802_ardupilot_real_generalization_ablation/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/metrics.json,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_091420_ardupilot_generalization_diagnostic_matrix/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/metrics.json,,,missing,missing
stabilize_baseline_to_diagnostic_collapse,commands_plus_state_history | selected_state_subset | ols_affine | pooled,supported,partial,0.9999990204539585,0.9288821542563672,549554.6354084611,7535808.506302983,altitude; altitude__lag_1; altitude__lag_2; altitude__lag_3; heading; heading__lag_1; heading__lag_2; heading__lag_3; pitch; pitch__lag_1; pitch__lag_2; pitch__lag_3; pitch_rate; pitch_rate__lag_1; pitch_rate__lag_2; pitch_rate__lag_3; position_y; position_y__lag_1; position_y__lag_2; position_y__lag_3; position_z; position_z__lag_1; position_z__lag_2; position_z__lag_3; roll__lag_1; roll__lag_2; roll__lag_3; roll_rate__lag_1; roll_rate__lag_2; roll_rate__lag_3; vertical_speed; vertical_speed__lag_1; vertical_speed__lag_2; vertical_speed__lag_3; yaw__lag_1; yaw__lag_2; yaw__lag_3; yaw_rate; yaw_rate__lag_1; yaw_rate__lag_2; yaw_rate__lag_3,altitude; altitude__lag_1; altitude__lag_2; altitude__lag_3; heading; heading__lag_1; heading__lag_2; heading__lag_3; pitch; pitch__lag_1; pitch__lag_2; pitch__lag_3; pitch_rate; pitch_rate__lag_1; pitch_rate__lag_2; pitch_rate__lag_3; position_y; position_y__lag_1; position_y__lag_2; position_y__lag_3; position_z; position_z__lag_1; position_z__lag_2; position_z__lag_3; roll__lag_1; roll__lag_2; roll__lag_3; roll_rate__lag_1; roll_rate__lag_2; roll_rate__lag_3; vertical_speed; vertical_speed__lag_1; vertical_speed__lag_2; vertical_speed__lag_3; yaw__lag_1; yaw__lag_2; yaw__lag_3; yaw_rate; yaw_rate__lag_1; yaw_rate__lag_2; yaw_rate__lag_3,0.0,altitude__lag_1->future_state_yaw_rate (243); altitude__lag_2->future_state_yaw_rate (243); altitude__lag_3->future_state_yaw_rate (243); position_z__lag_1->future_state_yaw_rate (243); position_z__lag_2->future_state_yaw_rate (243),roll->future_state_pitch_rate (6.34e+03); roll->future_state_roll_rate (2.43e+03); roll->future_state_yaw_rate (1.42e+03); roll__lag_2->future_state_yaw_rate (368); roll__lag_3->future_state_yaw_rate (368),/mnt/nvme/autopilot_lab/artifacts/studies/20260413_115811_ardupilot_state_evolution_stabilize_baseline/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/matrix_f.csv,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_122521_ardupilot_state_evolution_stabilize_diagnostic/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/matrix_f.csv,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_115811_ardupilot_state_evolution_stabilize_baseline/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/metrics.json,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_122521_ardupilot_state_evolution_stabilize_diagnostic/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/metrics.json,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_115811_ardupilot_state_evolution_stabilize_baseline/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/matrix_heatmap_abs.png,,available,missing
guided_nogps_persistent_high_r2_high_cond,commands_plus_state_history | selected_state_subset | ols_affine | pooled,partial,partial,1.0,1.0,1601897234.140586,557227689.1334366,altitude; altitude__lag_1; altitude__lag_2; altitude__lag_3; heading; heading__lag_1; heading__lag_2; heading__lag_3; pitch__lag_1; pitch__lag_2; pitch__lag_3; pitch_rate__lag_1; pitch_rate__lag_2; pitch_rate__lag_3; roll__lag_1; roll__lag_2; roll__lag_3; roll_rate__lag_1; roll_rate__lag_2; roll_rate__lag_3; vertical_speed; vertical_speed__lag_1; vertical_speed__lag_2; vertical_speed__lag_3; yaw__lag_1; yaw__lag_2; yaw__lag_3; yaw_rate__lag_1; yaw_rate__lag_2; yaw_rate__lag_3,altitude; altitude__lag_1; altitude__lag_2; altitude__lag_3; heading; heading__lag_1; heading__lag_2; heading__lag_3; pitch__lag_1; pitch__lag_2; pitch__lag_3; pitch_rate__lag_1; pitch_rate__lag_2; pitch_rate__lag_3; roll__lag_1; roll__lag_2; roll__lag_3; roll_rate__lag_1; roll_rate__lag_2; roll_rate__lag_3; vertical_speed; vertical_speed__lag_1; vertical_speed__lag_2; vertical_speed__lag_3; yaw__lag_1; yaw__lag_2; yaw__lag_3; yaw_rate__lag_1; yaw_rate__lag_2; yaw_rate__lag_3,0.42857142857142855,pitch__lag_1->future_state_pitch (0.25); pitch__lag_2->future_state_pitch (0.25); pitch__lag_3->future_state_pitch (0.25); roll__lag_1->future_state_roll (0.25); roll__lag_2->future_state_roll (0.25),yaw_rate->future_state_yaw_rate (0.25); roll_rate->future_state_roll_rate (0.25); roll->future_state_roll (0.25); pitch->future_state_pitch (0.25); pitch_rate->future_state_pitch_rate (0.25),/mnt/nvme/autopilot_lab/artifacts/studies/20260413_124654_ardupilot_state_evolution_guided_nogps_baseline/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/matrix_f.csv,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_132622_ardupilot_state_evolution_guided_nogps_diagnostic/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/matrix_f.csv,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_124654_ardupilot_state_evolution_guided_nogps_baseline/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/metrics.json,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_132622_ardupilot_state_evolution_guided_nogps_diagnostic/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/metrics.json,/mnt/nvme/autopilot_lab/artifacts/studies/20260413_124654_ardupilot_state_evolution_guided_nogps_baseline/fits/commands_plus_state_history__selected_state_subset__pooled/ols_affine/matrix_heatmap_abs.png,,available,missing
