feature,window_mean_roll,window_mean_pitch,window_mean_yaw,window_mean_roll_rate,window_mean_pitch_rate,window_mean_yaw_rate,window_peak_roll,window_peak_pitch,window_peak_yaw,window_peak_roll_rate,window_peak_pitch_rate,window_peak_yaw_rate
command_roll,0.027829699743254062,0.022592351896116306,-0.010233474719693256,0.003573464019281724,0.01725434903666826,0.018786544128647407,-0.023004415086934207,-0.023986816215418896,-0.1128456519092937,0.03487778455055211,-0.00557049299740416,-0.0077614349623403795
command_pitch,9.338699923931179e-07,3.486025827643796e-06,-2.715301196104154e-05,0.0,5.472773313602618e-06,4.191101720334408e-05,0.0,-4.210997170735393e-06,-8.280137325460016e-05,1.8482072649243146e-06,9.479523874975139e-06,-3.772997325531533e-05
command_yaw,1.359085296448545e-06,0.0,-4.709238697276395e-06,0.0,6.713323823873172e-06,0.0,0.0,0.0,0.0,0.00010121003446457292,0.0,0.0
command_throttle,-3.740444366476352e-05,0.0,0.011416181305568792,-0.0024115760491296235,-0.00039703991364664333,0.004499292970233489,0.002090126109666548,0.0009404794436553465,0.017291297687768593,0.013193714744730616,0.008741264747142333,-0.0002672563743740821
roll,0.9289971695347294,0.030351195330246578,0.47340728289977174,0.03152981699156394,-0.08990122253742193,-0.04799982861745957,-0.0022726198750517637,0.25220774766133347,0.2185223432584471,-0.03296569154262691,-0.2143524357065676,0.053856245358884405
pitch,-0.01740510044964921,0.901158857602802,-0.2512206112062625,-0.13555643685116694,0.07623301835485155,-0.26473989956253663,-0.00561904965265655,-0.30641472887919197,0.39386036822228254,0.07575385388302235,0.17341903459333174,0.3853067616396961
yaw,-0.0005634455741139824,-0.00037812730726978825,1.0017692926167934,0.00011019408265895947,-0.0013546189004531193,0.07719567029684261,-0.021383176876300182,-0.014947533242846641,0.9512694027355437,-0.002970472209240738,-0.008699342256539438,-0.08470127494897683
roll_rate,0.005367291623001204,0.008941633118522583,-0.014670896610680467,0.7640159316157991,-0.10101628627074832,0.9533896818439044,0.05236182463352624,0.036125661088894936,0.047710951843741606,0.022688647312162698,-0.1419364078096003,-1.1493521945651886
pitch_rate,0.04166122078924844,0.0006004481199826079,-0.16775967135682762,0.058855376860859274,0.7595400318269439,-0.3764217827832586,-0.059652327383033596,-0.05625893396001913,-0.33197162851157574,-0.10148551548234953,0.07298493090360571,0.47677817010315565
yaw_rate,0.004477597542482092,0.002525905545802777,-0.011927232587824538,-0.04180993597305634,-0.0044129019601443845,1.0879979815037955,0.025576222880713644,0.018325052361505195,0.018981283295566472,-0.09439858533773077,-0.032260592329681065,-1.118244254222611
position_x,0.00330658959992381,0.0005612325364438306,0.004835537508624424,-0.005693693638606825,0.0006566521547374764,0.03263107048773458,0.0006421001005357945,-0.0009239282857389542,0.03156667563799105,-0.009881437731151771,-0.014281531532593,-0.03454474921672095
position_y,-0.00011980530943052742,-0.0006947855828520096,0.022331945301449385,-0.007186616490558175,-0.00024727818545656577,0.007780577864869546,-0.0026941790283635503,-0.003313455884416436,-0.013072947817050314,-0.004099170567427444,-0.016129035042651722,-0.0028966377715525997
position_z,-3.2976499947879326e-09,0.0,0.003154346594758352,0.0004033866981824777,-0.00011344891781222625,0.0005907881151510416,-0.0002807190229264896,-0.0004019987916784722,0.00014354881660287404,-0.004802357358928316,-0.006368481154219743,-0.001907572176572784
velocity_x,0.012272007168334265,0.011138395227812944,-0.14026411828749855,0.0022610213501990375,0.0034761919054854093,-0.03033535862177048,0.03659098073713615,0.01596251810893405,0.0635104064779981,0.037158674553601896,0.08283415378452313,0.0466415951461049
velocity_y,-0.003559715337052595,-0.00038386433261905847,-0.06302279402251054,0.019054329724329824,-0.0023936569003657664,0.0001638807943328956,0.0026503078630835397,-0.0003367871770011809,-0.012529095992723317,0.011100497540320881,0.05466322921988072,-0.004369971290240746
velocity_z,0.0005891345352772819,0.00043538359674317995,-0.01950556226729882,-0.00027758825857283675,0.00014662892900740954,0.0016243688482486742,0.002765423483192788,-0.003675293018828644,-0.029421491407435836,0.023877480334072276,0.02228238972177322,-0.0004737744579866016
altitude,8.848713277832404e-05,0.0,-0.0004923578454974204,-0.0003417100713144569,2.331354884692509e-06,0.0,0.0006675233466283978,0.0006719104245633081,0.0003605291418946108,0.0006093982081363746,0.0005419015684055663,0.0002270767686662764
vertical_speed,-4.6795402010025e-05,-3.8556327404601546e-05,0.0005100167446955685,5.9172078406264305e-05,0.0,-3.167335572335375e-05,-0.00010932503299018846,0.00013722462006131016,0.00032284686753323005,-0.00015410692946054926,-2.0023937487883288e-05,4.2234006553369696e-07
heading,-0.003983676769040897,-0.002461863848062434,0.018893419085242474,0.0019131936740290662,0.0,-0.07998348313570462,-0.008062874867464615,-0.005778496176955224,-0.02360777748702306,0.0,-1.8561807156208872e-05,0.0870584194864061
