received_time_ns,timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,thrust_body_x,thrust_body_y,thrust_body_z,reset_integral
1775897921614502912,2804000,-0.0,-0.0,-2.2754915335099213e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897921626502912,2816000,-0.0,-0.0,-2.4012990252231248e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897921662502912,2852000,-0.0,-0.0,-2.843670517904684e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897921718502912,2908000,-0.0,-0.0,-2.7429128749645315e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897921770502912,2960000,-0.0,-0.0,-3.115899016847834e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897921814502912,3004000,-0.0,-0.0,-3.299399759271182e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897921870502912,3060000,-0.0,-0.0,-3.2620224374113604e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897921918502912,3108000,-0.0,-0.0,-3.087807635893114e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897921966502912,3156000,-0.0,-0.0,-3.084220224991441e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922014502912,3204000,-0.0,-0.0,-2.9760993129457347e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922066502912,3256000,-0.0,-0.0,-2.886179390770849e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922114502912,3304000,-0.0,-0.0,-2.651536306075286e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922162502912,3352000,-0.0,-0.0,-2.5777326300158165e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922210502912,3400000,-0.0,-0.0,-2.3095952201401815e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922266502912,3456000,-0.0,-0.0,-2.5294939405284822e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922314502912,3504000,-0.0,-0.0,-2.4598268282716163e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922370502912,3560000,-0.0,-0.0,-2.5669674869277515e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922418502912,3608000,-0.0,-0.0,-2.2460235413745977e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922466502912,3656000,-0.0,-0.0,-2.0006449631182477e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922518502912,3708000,-0.0,-0.0,-1.749792863847688e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922566502912,3756000,-0.0,-0.0,-1.3446128832583781e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922618502912,3808000,-0.0,-0.0,-8.531587809557095e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922666502912,3856000,-0.0,-0.0,-4.998265922040446e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775897922714502912,3904000,-0.0,-0.0,-3.5095920338790165e-06,0.0,0.0,0.0,-0.0010000000474974513,False
