scenario,accepted_count,attempt_count,gate_rate,failsafe_rate,direction_consistency,predictability_cv,small_tier_above_noise,monotonicity,profile_not_completed_rate,ready,blocking_reasons,small_attempt_count,small_accepted_count,small_gate_rate,small_failsafe_rate,small_direction_consistency,small_predictability_cv,small_median_snr,small_median_effect_abs,small_median_slope_abs,medium_attempt_count,medium_accepted_count,medium_gate_rate,medium_failsafe_rate,medium_direction_consistency,medium_predictability_cv,medium_median_snr,medium_median_effect_abs,medium_median_slope_abs
nominal,5,10,0.0,0.0,1.0,0.33333333333333326,True,False,0.0,False,nominal_monotonicity_failed,5,5,0.0,0.0,1.0,1.19904086659517e-16,100000.00000000001,0.1,3.7037037037037006,5,5,0.0,0.0,1.0,1.19904086659517e-16,100000.00000000001,0.1,1.8518518518518503
throttle_biased,5,10,0.0,0.0,1.0,0.33333333333333326,True,False,0.0,False,throttle_biased_monotonicity_failed,5,5,0.0,0.0,1.0,0.0,100000.00000000001,0.1,3.0864197530864215,5,5,0.0,0.0,1.0,0.0,100000.00000000001,0.1,1.5432098765432107
