scenario,accepted_count,attempt_count,gate_rate,failsafe_rate,direction_consistency,predictability_cv,small_tier_above_noise,monotonicity,profile_not_completed_rate,ready,blocking_reasons,small_attempt_count,small_accepted_count,small_gate_rate,small_failsafe_rate,small_direction_consistency,small_predictability_cv,small_median_snr,small_median_slope_abs,medium_attempt_count,medium_accepted_count,medium_gate_rate,medium_failsafe_rate,medium_direction_consistency,medium_predictability_cv,medium_median_snr,medium_median_slope_abs
nominal,1,2,0.0,0.0,0.0,0.2307692307692307,True,False,0.0,False,"nominal_accepted_target_not_met,nominal_direction_consistency_below_threshold,nominal_monotonicity_failed",1,1,0.0,0.0,0.0,0.0,100000.00000000001,6.666666666666661,1,1,0.0,0.0,0.0,0.0,100000.00000000001,4.166666666666663
proxy_dynamic,0,0,nan,nan,nan,nan,False,False,nan,False,"proxy_dynamic_accepted_target_not_met,proxy_dynamic_direction_consistency_below_threshold,proxy_dynamic_predictability_cv_above_threshold,proxy_dynamic_failsafe_rate_above_threshold",0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan
throttle_biased,0,0,nan,nan,nan,nan,False,False,nan,False,"throttle_biased_accepted_target_not_met,throttle_biased_direction_consistency_below_threshold,throttle_biased_predictability_cv_above_threshold,throttle_biased_small_tier_below_snr_gate,throttle_biased_monotonicity_failed,throttle_biased_failsafe_rate_above_threshold,throttle_biased_gate_rate_above_threshold",0,0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan
